,t,p,v,q,R,fa,pwm
8914,110.14647396325078,"[0.8241839168397259, -1.5172409105657387, 2.0735682135404363]","[0.6090336250858179, 0.25227506464103444, 0.0075602643452754165]","[0.02481743090350083, 0.0160986504350974, -0.11399323704404826, -0.9930308328930925]","[[0.9734725153153869, -0.22559854396243664, -0.03763095106765316], [0.22719665254168722, 0.9727590386537497, 0.045618673610465746], [0.026314873932424918, -0.052959222711015067, 0.998229621745648]]","[-0.69604324004697, -0.0611376333438135, -0.2241304943647009]","[1674.614485016625, 1672.4596107499108, 1573.2306407166607, 1592.22897003325]"
8915,110.15647468951994,"[0.8301257761301446, -1.514731697827021, 2.0735305085001494]","[0.6012594281568635, 0.25586420169108454, -0.002630309956374855]","[0.023809495050428092, 0.02170671797304821, -0.11319957459837186, -0.9930353135007294]","[[0.9734007006196345, -0.22378869811060617, -0.048501524397096686], [0.22585600208716747, 0.9732092797208446, 0.04237295628244007], [0.03772062555265469, -0.05220172124434363, 0.9978952038890264]]","[-0.4993361778487191, 0.026253237290071563, 0.8154352612716522]","[1667.5637693521908, 1670.6308691943427, 1571.912753870438, 1586.2818846760954]"
8916,110.1664754157891,"[0.8349603849633684, -1.5126392128342685, 2.0734050727722053]","[0.5936346056906002, 0.2595816066330922, -0.00809189317066253]","[0.02282323923402935, 0.027733451359930987, -0.1123150666388949, -0.9930109198204847]","[[0.9732077686134258, -0.2217942408752301, -0.060206027360414374], [0.22432610965592215, 0.9737042567638257, 0.03909768269489852], [0.04995245281847259, -0.05155722044536731, 0.9973953165033571]]","[-0.4565827197150004, -0.06158518299464788, 0.7198358770191966]","[1657.3380046798932, 1673.698598596032, 1569.8676009359785, 1581.1690023399467]"
8917,110.17647614205825,"[0.8402478206302978, -1.5102838722739427, 2.073114534248198]","[0.5845156540525523, 0.2614863304890921, -0.019538588537426117]","[0.021810171755608315, 0.034044447198036856, -0.11146678531475054, -0.992926699112188]","[[0.9727952447884101, -0.2198716639250165, -0.07246950062441228], [0.22284172488787218, 0.9741619263744316, 0.035722153522766205], [0.06274506169337137, -0.05090145387069795, 0.9966935660612011]]","[-0.5111112743224115, -0.28949745376737435, -0.23413986367122597]","[1651.0182264306768, 1673.30133694058, 1564.470231841547, 1584.0959891782595]"
8918,110.1864768683274,"[0.8458688916570803, -1.5077348640566917, 2.072702350700801]","[0.5742958526264818, 0.26205550074841, -0.035395016053703474]","[0.020777349885792506, 0.040564882932693294, -0.11064519517941354, -0.9927983988340705]","[[0.9721924900521371, -0.2180110836940724, -0.08514332951578779], [0.22138240675714754, 0.9746201129702701, 0.03227882061822429], [0.07594767378208989, -0.05023205817629593, 0.9958138119481649]]","[-0.5162906798399867, -0.3472955001195469, -0.509935117066961]","[1647.5763147053651, 1670.351126890313, 1556.6030050408344, 1592.9466193290611]"
8919,110.19647759459656,"[0.8513437649670608, -1.5051994736626078, 2.0721536052950222]","[0.5628693407179041, 0.2625171580708755, -0.05068955728831519]","[0.01994187727459879, 0.04723644953795552, -0.10974708025034478, -0.9926162585647764]","[[0.9714090114479428, -0.21598950541386364, -0.09815246122769437], [0.2197574393321584, 0.9750762188393761, 0.029221138381773648], [0.0893982100053027, -0.04995738805450711, 0.9947024977564237]]","[-0.5098085761764117, -0.3150912398743043, -0.32259567419047386]","[1644.436204364805, 1669.2606326058658, 1555.8669586645242, 1594.1330413354758]"
8920,110.20647832086571,"[0.8566951102008155, -1.502675589491295, 2.07148947352056]","[0.5504232326916456, 0.2628879735761824, -0.0655093391836577]","[0.01927315264548954, 0.054035712430906595, -0.10878430657858149, -0.9923886268153177]","[[0.9704527574695898, -0.21382974018117276, -0.11144208600883504], [0.2179954943171273, 0.9755495650796284, 0.02649643996196712], [0.10305561982434411, -0.05000938999107036, 0.9933778993593627]]","[-0.5264846032264099, -0.2540820917624926, -0.47186843341442497]","[1641.5510976267362, 1669.7414837288773, 1561.1563210176503, 1588.8436789823497]"
8921,110.21647904713487,"[0.862149465628822, -1.5000227926298464, 2.0706137473186157]","[0.5364268693149864, 0.2637170481022845, -0.08326744935746498]","[0.018625353473927974, 0.061391551376760785, -0.10783077972862454, -0.9920752313961726]","[[0.9691637689044696, -0.21166561281239984, -0.12582684785136974], [0.21623937019121978, 0.976007806481303, 0.02371570600755315], [0.11779330230011015, -0.05019530142237726, 0.9917249154341784]]","[-0.6105106178062543, -0.13456041240181724, -1.0358025486948481]","[1637.3175374155444, 1673.6579035242578, 1561.3175374155444, 1589.4140432893073]"
8922,110.22647977340402,"[0.8677235945025091, -1.4972201046124616, 2.069491993101189]","[0.520627971477045, 0.26507895593030906, -0.10444205345217639]","[0.018001885041388246, 0.06939454017145959, -0.106888004471919, -0.9916621156502465]","[[0.967477171775369, -0.20949510423517917, -0.14148024417962501], [0.21449203437384565, 0.9764602404564989, 0.02086868697132372], [0.13378350190439753, -0.05053846265201866, 0.9896791270452602]]","[-0.6108101762712883, -0.047164086166822855, -1.0209568834747778]","[1631.5160846283895, 1681.5689755067417, 1555.5160846283895, 1596.797710472959]"
8923,110.23648049967318,"[0.8729755795358305, -1.4944899137358951, 2.068233829146014]","[0.5040125336819888, 0.26658991830383444, -0.12239303426574348]","[0.01750825599849994, 0.07737156460047183, -0.10585100154736464, -0.9911849609144142]","[[0.9655633722337127, -0.20712655934289337, -0.15708559533438923], [0.2125451239830115, 0.9769230121949446, 0.018328124866612307], [0.14967252960323377, -0.05108755528359857, 0.9873591632346551]]","[-0.5118283608068639, 0.011531829058725684, -0.3990293092399231]","[1624.6099322086638, 1686.646275421751, 1552.7256207630414, 1602.743792369585]"
