,t,p,v,q,R,fa,pwm
21,18.91,"[0.43961912771024075, -1.5226499253528956, 2.352582393585684]","[-0.2235856178763534, -0.07179441533813063, 0.0515221777696188]","[0.0001532588049185263, -0.08024472615625743, 0.05612066665770667, -0.9951939770045967]","[[0.9808223300524888, 0.1116773024648013, 0.1597353382867876], [-0.11172649530812818, 0.9937007152277517, -0.008701730576152878], [-0.15970093434157484, -0.009311819534464237, 0.9871213415281771]]","[-2.1853447638472745, -0.11776957324242157, 0.7042299374269945]","[1586.8650021328313, 1736.555457259967, 1585.5159081214404, 1734.0318162428807]"
22,18.919999999999998,"[0.43738766659457473, -1.5234802542723824, 2.3530765261856974]","[-0.22128511486676916, -0.07319709390445499, 0.05572513620906607]","[0.0004112143508713652, -0.08099949905384746, 0.055961751753656405, -0.9951414913478349]","[[0.9806141203929233, 0.11131310588429323, 0.16125794912458863], [-0.11144633850999057, 0.993735619892387, -0.008247314791664353], [-0.1611659000229046, -0.009884180641223402, 0.9868772175171142]]","[-1.8714118953399153, -0.08374727698078181, 1.3260745773717968]","[1581.4291495420848, 1729.6370994171987, 1587.9867502081433, 1738.9735004162867]"
23,18.93,"[0.4351641279352257, -1.5243016576818957, 2.3535813994975574]","[-0.21938990089646412, -0.07451859441788487, 0.058973297444812396]","[0.0006618890113203753, -0.08175545918137157, 0.05576804522170288, -0.9950905991204008]","[[0.9804117085810545, 0.11088028898278064, 0.16278200222893915], [-0.11109674114297104, 0.9937787425988418, -0.007801405223843623], [-0.1626343532036789, -0.010435963355147631, 0.9866309821226278]]","[-2.1266083132371216, -0.06098287845013628, 0.814969688677964]","[1577.6292491287736, 1724.4494636634097, 1589.5505363365903, 1743.7191418614555]"
24,18.939999999999998,"[0.43297544537750393, -1.525083791896322, 2.354133528272703]","[-0.21927782025939166, -0.07548293922757007, 0.05802067712618117]","[0.0008805302625743453, -0.08251664271506733, 0.0554212674111829, -0.9950467174377204]","[[0.980238232010698, 0.110148183625318, 0.1643134291415094], [-0.11043881722962462, 0.9938546739935437, -0.007394016348811215], [-0.1641182287289263, -0.01089869133832792, 0.9863797151065351]]","[-2.297397866632155, -0.03696195118566946, 0.46091120140749453]","[1581.0269794837272, 1726.876413916948, 1587.123586083052, 1747.6022622671167]"
25,18.95,"[0.43076380496641264, -1.525882458513254, 2.354688941213657]","[-0.21913869863564525, -0.07622660460985727, 0.05797718718317243]","[0.001121250549806653, -0.08328772071194601, 0.05506345591046123, -0.9950023726122194]","[[0.9800621501085469, 0.10938976574499369, 0.16586643929612804], [-0.10976331135555535, 0.9939333245457382, -0.006940925559909347], [-0.16561947957527262, -0.011403513389310846, 0.9861236040565626]]","[-2.2721144453333775, 0.10962877955069077, 1.1482589517278168]","[1583.7393683882617, 1729.3909474176073, 1585.6515790293456, 1749.5013682325052]"
26,18.96,"[0.4283914567900224, -1.5267968539580947, 2.3552673437146328]","[-0.21881028681694795, -0.07542548716533068, 0.06429772042145371]","[0.0015165267737382738, -0.08412806115428836, 0.054628407236611526, -0.9949547857306542]","[[0.9798755319509987, 0.10845042551949315, 0.1675729250037627], [-0.10896075534814582, 0.9940259935912472, -0.006173812827086917], [-0.1672415432350387, -0.012209315111965175, 0.9858394579985059]]","[-2.2920311026267326, 0.20973995008448615, 1.7105295577956205]","[1581.6542838010716, 1732.5185742983927, 1590.8642904973212, 1737.5121318561614]"
27,18.97,"[0.42604639388088916, -1.527698801022681, 2.3558559428663903]","[-0.21903154735860084, -0.07510511409863734, 0.06982346483065344]","[0.001882863336610077, -0.0849668656344569, 0.0542151187416224, -0.9949058066936397]","[[0.9796824620111543, 0.10755791090099101, 0.16927221531129602], [-0.10819783488551019, 0.9941141081739533, -0.00546643408534326], [-0.16886389667382176, -0.012959520752558969, 0.985553929862802]]","[-2.5481086593302127, -0.019886300911412913, 1.3638882854909564]","[1579.896498369508, 1734.896498369508, 1595.5175081524596, 1727.896498369508]"
28,18.98,"[0.42380610695426096, -1.5285529460533174, 2.3564836973650216]","[-0.22136356096971352, -0.07663080924336015, 0.07229720393348864]","[0.002138071011043933, -0.08579977198856704, 0.053885389777063926, -0.9948514817513191]","[[0.9794688059857273, 0.10684902771843299, 0.1709464821731048], [-0.10758281173940473, 0.9941828650370109, -0.004992582085921098], [-0.1704856390139002, -0.013500834539627488, 0.9852669337532829]]","[-2.7106783840579234, -0.17537852778208138, 1.0948374736764812]","[1579.395548367925, 1734.395548367925, 1598.0222581603753, 1727.395548367925]"
29,18.99,"[0.4215585370555837, -1.5294203274294464, 2.3571163404107476]","[-0.22288245508103938, -0.07806716230872952, 0.07387499189925902]","[0.002411094669784149, -0.08662747972040113, 0.05353265922364374, -0.9947984159095249]","[[0.9792596358273434, 0.10609067508098903, 0.1726119038188061], [-0.1069261432994318, 0.9942566495577472, -0.004477692386332344], [-0.1720956145815521, -0.014071905018769027, 0.9849795002794396]]","[-2.381466043964866, -0.12340022930093537, 0.7820746646140364]","[1580.9246065019624, 1731.8615483311528, 1599.0376967490188, 1726.6792322496729]"
30,19.0,"[0.4192836358185952, -1.5303373818009116, 2.3577673290623036]","[-0.22134989657340567, -0.07916823486232163, 0.07209047894324215]","[0.002750977667140224, -0.08743567820474797, 0.053093608936665024, -0.9947500751857482]","[[0.979071350827133, 0.10514867576715545, 0.17424541360108514], [-0.10611081015936552, 0.9943462107171314, -0.003811480928985844], [-0.1736611762712746, -0.014757621893874051, 0.9846940776907219]]","[-2.129117231416381, -0.10534915433101158, 0.48803584034645375]","[1590.071823644092, 1721.6979737287866, 1594.464088177954, 1725.154696059318]"
31,19.009999999999998,"[0.41703219964731625, -1.5312419892351323, 2.358422107723267]","[-0.21928212190900886, -0.0802786620353104, 0.07013298008020467]","[0.0031400110144773376, -0.08823434920785668, 0.05266407691554449, -0.9947014431045601]","[[0.9788820152059651, 0.1042159529585875, 0.17586440054005767], [-0.10532418027205913, 0.9944328966278909, -0.003046814131621509], [-0.1752029374137293, -0.015540308081480795, 0.9844093058623558]]","[-1.9974535668335474, -0.13275473396459492, 0.44055560501196744]","[1594.120848440478, 1715.199646483134, 1592.199646483134, 1724.0]"
32,19.02,"[0.41485402491153744, -1.5321077354745283, 2.359088719358971]","[-0.21554332256330716, -0.08141829572551522, 0.06763539341059094]","[0.003682499086369016, -0.08900327399329663, 0.05226426234030244, -0.9946519013620703]","[[0.9786928297832008, 0.1033139868698074, 0.17743947760639942], [-0.10462500477046406, 0.9945088737472103, -0.001977771486220888], [-0.17666962521312776, -0.016628990358305, 0.9841288144201106]]","[-1.9007251787688788, -0.11719015328824112, 0.4512259506876415]","[1582.2525562199785, 1720.1447682416756, 1597.1447682416756, 1724.0]"
33,19.03,"[0.4126779929609677, -1.5329808845281558, 2.359756372430114]","[-0.212174805739878, -0.08178631827930367, 0.06666487131053439]","[0.004207594255279205, -0.08970787697099841, 0.05181725820515655, -0.9946102647061668]","[[0.9785347510697445, 0.10232104510396417, 0.1788848025166026], [-0.10383086249515003, 0.994594349752198, -0.0009269995760464896], [-0.17801269852480928, -0.017666665320124078, 0.9838693998667101]]","[-2.0782447925225784, 0.1789862860499885, 1.0685655137928975]","[1571.5851114084378, 1726.8297771831244, 1599.2585986565389, 1724.7618630877644]"
34,19.04,"[0.41050954061346656, -1.533880219311096, 2.360427709336305]","[-0.21011607700436025, -0.0794249463459461, 0.07109598407674345]","[0.004671166085200582, -0.09018495655102174, 0.051203332004512166, -0.9945965904509219]","[[0.9784890899327203, 0.10101078104195589, 0.17987365912703898], [-0.10269585668370158, 0.9947121031237487, 5.6311179352017474e-05], [-0.178916942055404, -0.018527392267729897, 0.9836890127642579]]","[-2.2122264862850702, 0.3606345690022191, 1.520896716331075]","[1565.1653843179513, 1739.6692313640974, 1591.3573960836325, 1728.2186392134108]"
35,19.05,"[0.4083061777845304, -1.5347959535891633, 2.3611040054521792]","[-0.2086449474912482, -0.07789396140749821, 0.07440064445960386]","[0.005137119068045974, -0.09075357410417047, 0.05061051945001697, -0.9945730821699773]","[[0.978404369877726, 0.09973929680720621, 0.1810421083584733], [-0.10160414447130163, 0.9948240123184497, 0.0010323096352459395], [-0.1800021393004317, -0.01940465174467664, 0.9834744392510886]]","[-2.45379104072654, -0.05480189923411703, 1.0183825416154129]","[1561.3776295754894, 1748.7283419303176, 1586.8015155987168, 1729.5163989187038]"
36,19.06,"[0.40595905357132206, -1.5357792209983672, 2.3618007235966147]","[-0.20959355194169899, -0.07978251063088404, 0.07306657322677891]","[0.005612877640113536, -0.09169914508761733, 0.0501046529035053, -0.9945090773650818]","[[0.9781605999045684, 0.09862967209936581, 0.18295372692440162], [-0.10068845642368505, 0.9949150575333624, 0.0019750078541383425], [-0.1818288017806107, -0.0203532231987913, 0.9831185435989241]]","[-2.736054658470545, -0.32963169300562606, 0.5131734245611028]","[1568.4283386002114, 1742.2199951382663, 1596.0216735541226, 1721.9233276613106]"
