filename,method,condition,phase,t0_seconds,n_samples,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_ellipse_metapinn_ou15,MetaPINN,ou15,trans,20.000000,1998,1.322894,1.669366,3.343314,4.430553,5.429872
simpleflight_ellipse_metapinn_ou15,MetaPINN,ou15,steady,20.000000,4001,0.693392,1.094344,3.020154,3.644216,4.696131
simpleflight_ellipse_metapinn_10sint,MetaPINN,10sint,all,20.000000,5999,0.858455,1.241489,1.048069,2.089291,2.572116
simpleflight_ellipse_metapinn_10wind,MetaPINN,10wind,all,20.000000,5999,0.868927,1.214702,1.130805,2.222676,2.897125
simpleflight_ellipse_metapinn_12wind,MetaPINN,12wind,all,20.000000,5999,0.873101,1.208196,2.123872,3.021934,4.094431
simpleflight_ellipse_metapinn_5wind,MetaPINN,5wind,all,20.000000,5999,0.857566,1.239981,1.153681,2.134497,2.602057
simpleflight_ellipse_metapinn_nowind,MetaPINN,nowind,all,20.000000,5999,0.844784,1.258727,1.376282,2.238398,2.676629
simpleflight_ellipse_metapinn_10sint,MetaPINN,10sint,trans,20.000000,1998,1.183359,1.315905,1.714995,2.832009,3.698370
simpleflight_ellipse_metapinn_10wind,MetaPINN,10wind,trans,20.000000,1998,1.215468,1.292568,2.490531,3.494222,4.458576
simpleflight_ellipse_metapinn_12wind,MetaPINN,12wind,trans,20.000000,1998,1.232688,1.289646,5.175511,5.734928,6.671163
simpleflight_ellipse_metapinn_5wind,MetaPINN,5wind,trans,20.000000,1998,1.181922,1.314269,1.689092,2.799672,3.680830
simpleflight_ellipse_metapinn_nowind,MetaPINN,nowind,trans,20.000000,1998,1.142772,1.328128,1.773831,2.782632,3.671413
simpleflight_ellipse_metapinn_10sint,MetaPINN,10sint,steady,20.000000,4001,0.696206,1.204327,0.715023,1.718396,1.757588
simpleflight_ellipse_metapinn_10wind,MetaPINN,10wind,steady,20.000000,4001,0.695873,1.175818,0.451791,1.587698,1.630254
simpleflight_ellipse_metapinn_12wind,MetaPINN,12wind,steady,20.000000,4001,0.693533,1.167522,0.599959,1.667132,1.706363
simpleflight_ellipse_metapinn_5wind,MetaPINN,5wind,steady,20.000000,4001,0.695591,1.202883,0.886310,1.802325,1.840118
simpleflight_ellipse_metapinn_nowind,MetaPINN,nowind,steady,20.000000,4001,0.695976,1.224070,1.177756,1.966622,2.002703
