t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
0.320000,"[0.14242734014987946, 0.4072254002094269, -10.410065650939941]","[1.5931820661424603, 1.5728328030805894, -10.0]","[1.0007790327072144, 0.7035789489746094, -2.2889111042022705]","[0.8075535168795818, 0.26408024037589206, 0.28119397439722016, 0.0]","[1.6853899955749512, 0.6342195868492126, 0.31353461742401123]","[2.0779287815093994, 1.6997995376586914, -3.823728084564209]","[0.0, 0.0, 0.0]"
0.330000,"[0.157852441072464, 0.4181343913078308, -10.444754600524902]","[1.6425233099048104, 1.6202151419743425, -10.0]","[1.055573582649231, 0.7509867548942566, -2.3350839614868164]","[0.7856855686290403, 0.2623896197284246, 0.27572736631803246, 0.0]","[1.7135225534439087, 0.6747960448265076, 0.5773402452468872]","[2.1208038330078125, 1.821760892868042, -3.681387424468994]","[0.0, 0.0, 0.0]"
0.340000,"[0.17408666014671326, 0.4297560453414917, -10.480085372924805]","[1.691823490669961, 1.6674354607040727, -10.0]","[1.1087427139282227, 0.7986233830451965, -2.3747432231903076]","[0.7660798306792282, 0.2602589996581974, 0.27045088200201417, 0.0]","[1.7175871133804321, 0.7183570265769958, 0.7552324533462524]","[2.133244514465332, 1.919252872467041, -3.4622116088867188]","[0.0, 0.0, 0.0]"
0.350000,"[0.19110727310180664, 0.44209372997283936, -10.515969276428223]","[1.7410813759359602, 1.7144890372772574, -10.0]","[1.1604164838790894, 0.8464241623878479, -2.408937692642212]","[0.7457009009551133, 0.2577038452973899, 0.2653276134547359, 0.0]","[1.696861743927002, 0.7666655778884888, 1.0460742712020874]","[2.1374316215515137, 2.0072038173675537, -3.2496047019958496]","[0.0, 0.0, 0.0]"
0.360000,"[0.2088920623064041, 0.45514893531799316, -10.552329063415527]","[1.7902957342582426, 1.7613711663754508, -10.0]","[1.2106294631958008, 0.8942625522613525, -2.4382152557373047]","[0.725905070709151, 0.2547580274227414, 0.2603644567857902, 0.0]","[1.659023642539978, 0.8233803510665894, 1.353615403175354]","[2.129978895187378, 2.0834174156188965, -3.037346839904785]","[0.0, 0.0, 0.0]"
0.370000,"[0.23121097683906555, 0.47176072001457214, -10.596485137939453]","[1.839465335280413, 1.8080771598248107, -10.0]","[1.2688316106796265, 0.951404333114624, -2.466804027557373]","[0.7036639103689379, 0.2465374225028289, 0.25014847259269746, 0.0]","[1.603143572807312, 0.9069141149520874, 1.701193928718567]","[2.3672149181365967, 2.3862431049346924, -2.9771132469177246]","[0.0, 0.0, 0.0]"
0.380000,"[0.25059688091278076, 0.48638689517974854, -10.633633613586426]","[1.8885889497650066, 1.8546023470649142, -10.0]","[1.3156039714813232, 0.99862140417099, -2.485377311706543]","[0.6859654433576572, 0.24300509394054517, 0.24567513340775965, 0.0]","[1.5485179424285889, 1.012172818183899, 2.007650136947632]","[2.2672178745269775, 2.373579263687134, -2.6939353942871094]","[0.0, 0.0, 0.0]"
0.390000,"[0.27067136764526367, 0.5017167925834656, -10.671021461486816]","[1.9376653496242202, 1.900942075615808, -10.0]","[1.360656499862671, 1.0452139377593994, -2.498924493789673]","[0.6702727498495871, 0.2393463428388093, 0.24148658598744127, 0.0]","[1.4984548091888428, 1.0859624147415161, 2.238407850265503]","[2.1703479290008545, 2.3598203659057617, -2.390073776245117]","[0.0, 0.0, 0.0]"
0.400000,"[0.2914099395275116, 0.5177410244941711, -10.708581924438477]","[1.986693307950613, 1.9470917115432533, -10.0]","[1.4042420387268066, 1.0912524461746216, -2.508740186691284]","[0.6545750817042386, 0.23552769804529222, 0.2375042727496198, 0.0]","[1.4444564580917358, 1.1586757898330688, 2.521061420440674]","[2.0886881351470947, 2.3534092903137207, -2.1264219284057617]","[0.0, 0.0, 0.0]"
0.410000,"[0.3127916753292084, 0.5344513058662415, -10.746264457702637]","[2.035671599047781, 1.9930466399221156, -10.0]","[1.4462976455688477, 1.1365818977355957, -2.5147578716278076]","[0.64026373477146, 0.2315765832579376, 0.2337963090327955, 0.0]","[1.3980441093444824, 1.2405705451965332, 2.763596534729004]","[2.005946636199951, 2.3385305404663086, -1.8721623420715332]","[0.0, 0.0, 0.0]"
