t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
22.190000,"[-9.64836311340332, -2.157381057739258, -9.820446968078613]","[-9.950613342852504, -0.9877175995142247, -10.0]","[0.8222779631614685, -3.0988662242889404, -0.21331918239593506]","[0.5910518325503151, 0.010714389088350797, 0.10189221554229695, 0.0]","[0.4777202904224396, 0.8173689246177673, 0.3270031809806824]","[0.5230615139007568, 1.5469286441802979, 0.08394336700439453]","[-1.162695685353273, -0.7491827358351978, -17.42969709368693]"
22.200000,"[-9.63339614868164, -2.213003635406494, -9.82426643371582]","[-9.945525882039542, -1.036682103037078, -10.0]","[0.8406065702438354, -3.0811855792999268, -0.211055725812912]","[0.5910287830547506, 0.01688158227611508, 0.09931970486794875, 0.0]","[0.47177788615226746, 0.8396670818328857, 0.29148080945014954]","[0.5980348587036133, 1.6272666454315186, 0.09397220611572266]","[-1.1583818032392577, -0.7600609369628603, -17.432490335426202]"
22.210000,"[-9.620673179626465, -2.259108781814575, -9.827418327331543]","[-9.940189783597525, -1.085542939213527, -10.0]","[0.8558346629142761, -3.0660035610198975, -0.20922037959098816]","[0.5910372978286851, 0.019868305723226957, 0.09907270026621878, 0.0]","[0.4670373797416687, 0.8600079417228699, 0.2598485052585602]","[0.5764836072921753, 1.6204832792282104, 0.09116458892822266]","[-1.1539848351753623, -0.771072535761975, -17.434866663536898]"
22.220000,"[-9.607721328735352, -2.304983615875244, -9.83054256439209]","[-9.934605180928633, -1.1342952220006701, -10.0]","[0.8710198402404785, -3.050410032272339, -0.20742498338222504]","[0.5910208938761304, 0.02282959598727195, 0.09883163954224719, 0.0]","[0.46286740899086, 0.878563642501831, 0.2309003472328186]","[0.560544490814209, 1.6187855005264282, 0.08785629272460938]","[-1.1495123592409258, -0.782194697677085, -17.43686619273471]"
22.230000,"[-9.594542503356934, -2.350621223449707, -9.83364200592041]","[-9.928772213647646, -1.182934076210856, -10.0]","[0.8861455321311951, -3.034400701522827, -0.2056676298379898]","[0.5910223323801083, 0.02576241324875296, 0.09860363012663032, 0.0]","[0.45867589116096497, 0.8978005051612854, 0.20230334997177124]","[0.5497351884841919, 1.6179238557815552, 0.08498191833496094]","[-1.1449650738488863, -0.7934340803320573, -17.438494091591707]"
22.240000,"[-9.581137657165527, -2.3960154056549072, -9.836712837219238]","[-9.922691027578441, -1.231454637999196, -10.0]","[0.9011900424957275, -3.01794171333313, -0.2039414495229721]","[0.5910215208374148, 0.02865210835923424, 0.09839791513412133, 0.0]","[0.4550156891345978, 0.9170233011245728, 0.17499656975269318]","[0.5410219430923462, 1.6196492910385132, 0.08216571807861328]","[-1.1403505801796703, -0.8047885530985315, -17.439769408485763]"
22.250000,"[-9.567506790161133, -2.441159248352051, -9.839759826660156]","[-9.916361774750353, -1.2798520553499448, -10.0]","[0.916158139705658, -3.001037120819092, -0.20223885774612427]","[0.5909799842223235, 0.03149564404012585, 0.09821366572411833, 0.0]","[0.45236074924468994, 0.9341608285903931, 0.15092156827449799]","[0.5328872203826904, 1.6257456541061401, 0.07877445220947266]","[-1.1356820991837315, -0.8162311257761871, -17.440740330195897]"
22.260000,"[-9.553651809692383, -2.486046552658081, -9.842781066894531]","[-9.909784613394374, -1.3281214885616988, -10.0]","[0.9310633540153503, -2.983715534210205, -0.20054858922958374]","[0.590907200338673, 0.03430008062902533, 0.09804742008162122, 0.0]","[0.4505747854709625, 0.9495590329170227, 0.1297081559896469]","[0.52582186460495, 1.633836269378662, 0.0752420425415039]","[-1.1309710801572959, -0.8277392619582596, -17.44144927018034]"
22.270000,"[-9.539573669433594, -2.5306708812713623, -9.845775604248047]","[-9.902959707939193, -1.3762581107313603, -10.0]","[0.9459081888198853, -2.9659829139709473, -0.19885386526584625]","[0.5908250932863225, 0.03706505101446013, 0.09789925848960934, 0.0]","[0.44943517446517944, 0.9643805623054504, 0.11030303686857224]","[0.5201199054718018, 1.6419742107391357, 0.07229328155517578]","[-1.126226278591949, -0.8393044022643507, -17.441922565027053]"
22.280000,"[-9.525274276733398, -2.575026035308838, -9.848746299743652]","[-9.89588722900709, -1.4242571082368267, -10.0]","[0.9606892466545105, -2.9478321075439453, -0.19713886082172394]","[0.5907324892888751, 0.03978502980438618, 0.09777192183176703, 0.0]","[0.44889378547668457, 0.9784693717956543, 0.0927497148513794]","[0.5152499079704285, 1.650819182395935, 0.07008075714111328]","[-1.1214559390926826, -0.8509159864096487, -17.44218704375523]"
22.290000,"[-9.51075267791748, -2.619105815887451, -9.851690292358398]","[-9.888567353409675, -1.4721136812183462, -10.0]","[0.9754072427749634, -2.929269552230835, -0.19539326429367065]","[0.5906238990135495, 0.042459052739390456, 0.09766526396412306, 0.0]","[0.4489610195159912, 0.9912842512130737, 0.07735221087932587]","[0.510714590549469, 1.6609065532684326, 0.06849479675292969]","[-1.1166683933610237, -0.8625569934587991, -17.4422738637765]"
22.300000,"[-9.496010780334473, -2.6629040241241455, -9.854608535766602]","[-9.881000264143454, -1.5198230440585014, -10.0]","[0.990066647529602, -2.910311698913574, -0.19360819458961487]","[0.5904991281713646, 0.045089949140455166, 0.09757893398069858, 0.0]","[0.4495793879032135, 1.002760648727417, 0.06411071121692657]","[0.5064598917961121, 1.671904444694519, 0.06751155853271484]","[-1.1118712552758399, -0.874209781039565, -17.442214077829295]"
22.310000,"[-9.481049537658691, -2.7064149379730225, -9.857498168945312]","[-9.873186150385264, -1.5673804258607655, -10.0]","[1.004670262336731, -2.890970230102539, -0.19176878035068512]","[0.5903757327482724, 0.04767993865403124, 0.09751282807813626, 0.0]","[0.4507925510406494, 1.0137196779251099, 0.052203379571437836]","[0.5025619268417358, 1.6821894645690918, 0.06755256652832031]","[-1.107072636285765, -0.8858666644057352, -17.44202611078965]"
22.320000,"[-9.462807655334473, -2.7582406997680664, -9.860929489135742]","[-9.86512520748754, -1.6147810709265897, -10.0]","[1.02212393283844, -2.8672502040863037, -0.18948960304260254]","[0.5902161735246757, 0.05266093526030069, 0.09492181740765168, 0.0]","[0.4528752267360687, 1.0255749225616455, 0.040195293724536896]","[0.5725523233413696, 1.7870756387710571, 0.0773773193359375]","[-1.1021902862884652, -0.8976542167202779, -17.441716480447823]"
22.330000,"[-9.447367668151855, -2.8010995388031006, -9.863757133483887]","[-9.856817636973439, -1.6620202392309673, -10.0]","[1.03661048412323, -2.84706711769104, -0.18750829994678497]","[0.5901003437277628, 0.05511861711852999, 0.09487197787261671, 0.0]","[0.45527157187461853, 1.0354440212249756, 0.030852679163217545]","[0.5504387617111206, 1.7742356061935425, 0.0771780014038086]","[-1.09732186455703, -0.909427670973802, -17.44131333773854]"
22.340000,"[-9.431708335876465, -2.8436529636383057, -9.866554260253906]","[-9.84826364653179, -1.7090932068964342, -10.0]","[1.0510433912277222, -2.826512575149536, -0.1854381561279297]","[0.5892384777467456, 0.057533984222247814, 0.09482935082899616, 0.0]","[0.44714123010635376, 1.045982837677002, 0.0694199949502945]","[0.5354087948799133, 1.7664871215820312, 0.0664529800415039]","[-1.0923419651889708, -0.9211936020586041, -17.441533175031566]"
22.350000,"[-9.415834426879883, -2.885895013809204, -9.869319915771484]","[-9.839463450011905, -1.7559952666654508, -10.0]","[1.0654011964797974, -2.8055708408355713, -0.18327422440052032]","[0.5889562101128102, 0.05989796496314633, 0.09481433257300999, 0.0]","[0.44735199213027954, 1.0554590225219727, 0.07235155254602432]","[0.524207592010498, 1.761555552482605, 0.0667104721069336]","[-1.0873519333165023, -0.9329375638412347, -17.441839199411593]"
22.360000,"[-9.39974594116211, -2.9278199672698975, -9.872051239013672]","[-9.830417267418243, -1.8027217283711254, -10.0]","[1.0796549320220947, -2.7842366695404053, -0.18088091909885406]","[0.5888279090208947, 0.06220507299884156, 0.0948410799163428, 0.0]","[0.44983309507369995, 1.0639888048171997, 0.06853210180997849]","[0.5139005780220032, 1.7611093521118164, 0.07385826110839844]","[-1.0823806009213988, -0.9446464016735728, -17.442125778178596]"
22.370000,"[-9.383442878723145, -2.9694221019744873, -9.87474536895752]","[-9.821125324904896, -1.8492679194062263, -10.0]","[1.0938271284103394, -2.7625317573547363, -0.17834916710853577]","[0.5887375370645954, 0.06446039711794606, 0.09490223653865763, 0.0]","[0.45340797305107117, 1.0715174674987793, 0.06425515562295914]","[0.5040128827095032, 1.764350175857544, 0.08252525329589844]","[-1.077442399106414, -0.9563065234350047, -17.442382967981423]"
22.380000,"[-9.36693000793457, -3.0106961727142334, -9.877401351928711]","[-9.811587854769941, -1.8956291851904374, -10.0]","[1.1079410314559937, -2.740471839904785, -0.1757473647594452]","[0.5886638242655823, 0.06666858888708928, 0.09499166095393588, 0.0]","[0.4577752649784088, 1.0790108442306519, 0.06030569225549698]","[0.4955483675003052, 1.7684805393218994, 0.0904092788696289]","[-1.0725479434113896, -0.9679160828640334, -17.442613600338724]"
22.390000,"[-9.350205421447754, -3.0516364574432373, -9.880017280578613]","[-9.801805095449637, -1.9418008896358152, -10.0]","[1.122002124786377, -2.718052387237549, -0.17308862507343292]","[0.5885996606654583, 0.06882610877668732, 0.0951066465792503, 0.0]","[0.46263477206230164, 1.0864317417144775, 0.05704521760344505]","[0.48868924379348755, 1.7734665870666504, 0.09734821319580078]","[-1.0677041326222292, -0.9794726899789069, -17.4428260745545]"
22.400000,"[-9.333270072937012, -3.092237710952759, -9.882594108581543]","[-9.791777291512458, -1.9877784156103915, -10.0]","[1.1360117197036743, -2.6952788829803467, -0.17038461565971375]","[0.5885337041195554, 0.07093246248285089, 0.09524732370678904, 0.0]","[0.46776044368743896, 1.0931527614593506, 0.054891228675842285]","[0.4828068017959595, 1.780189037322998, 0.10314083099365234]","[-1.0629151434380006, -0.9909664570132652, -17.443035253151233]"
22.410000,"[-9.319570541381836, -3.1244709491729736, -9.884625434875488]","[-9.78150469365298, -2.0335571653998836, -10.0]","[1.1471861600875854, -2.67681884765625, -0.16819357872009277]","[0.5884778311143496, 0.07108480925364506, 0.0980906883643177, 0.0]","[0.47225436568260193, 1.0979984998703003, 0.05390331521630287]","[0.406944215297699, 1.6765064001083374, 0.09439468383789062]","[-1.0582739436129085, -1.0022753100846367, -17.443251593301916]"
22.420000,"[-9.302257537841797, -3.164449453353882, -9.887127876281738]","[-9.770987558685613, -2.0791325611674605, -10.0]","[1.1611192226409912, -2.6534583568573, -0.16542309522628784]","[0.5884088264810877, 0.07314939645941788, 0.09830214614090238, 0.0]","[0.47775399684906006, 1.1030735969543457, 0.053458407521247864]","[0.420071542263031, 1.7121840715408325, 0.10154056549072266]","[-1.0536945064640446, -1.0135013029392634, -17.443487268502736]"
22.430000,"[-9.281206130981445, -3.2119574546813965, -9.89007568359375]","[-9.760226149538182, -2.124500045411525, -10.0]","[1.1777987480163574, -2.625014543533325, -0.1620560735464096]","[0.5883362042766812, 0.07696577931208423, 0.09582104679381215, 0.0]","[0.4851319193840027, 1.1087194681167603, 0.05333945155143738]","[0.49823570251464844, 1.8562774658203125, 0.12092208862304688]","[-1.0490990111410843, -1.0247443122441686, -17.443750244836234]"
22.440000,"[-9.263435363769531, -3.2511537075042725, -9.892485618591309]","[-9.749220735245359, -2.16965508142146, -10.0]","[1.1916972398757935, -2.600992202758789, -0.1592164784669876]","[0.5882834827555506, 0.0789068909603513, 0.09603600462829004, 0.0]","[0.49272388219833374, 1.1131280660629272, 0.05329182371497154]","[0.48445218801498413, 1.8524529933929443, 0.12188434600830078]","[-1.0445907488680066, -1.0358924858788974, -17.444034981070928]"
22.450000,"[-9.245455741882324, -3.289987325668335, -9.894852638244629]","[-9.737971590941926, -2.214593153731292, -10.0]","[1.2056174278259277, -2.5766994953155518, -0.1563478708267212]","[0.5882365797970519, 0.08081937156449268, 0.09625013481514408, 0.0]","[0.5000820755958557, 1.117098093032837, 0.05389920249581337]","[0.4754987359046936, 1.8501794338226318, 0.1229238510131836]","[-1.0401669935034206, -1.0469399382684708, -17.444349708403372]"
22.460000,"[-9.227266311645508, -3.3284547328948975, -9.897175788879395]","[-9.726478997855905, -2.259309768571239, -10.0]","[1.2195278406143188, -2.5521183013916016, -0.15345853567123413]","[0.5881895449967939, 0.08269618164583206, 0.09647308224299116, 0.0]","[0.5066273212432861, 1.1210812330245972, 0.05563152953982353]","[0.47128772735595703, 1.8481974601745605, 0.12383651733398438]","[-1.0358184153989545, -1.0578859781885428, -17.44470980568128]"
22.470000,"[-9.208868980407715, -3.366551160812378, -9.899456024169922]","[-9.714743243301525, -2.3038004543170807, -10.0]","[1.2333992719650269, -2.5272345542907715, -0.15055641531944275]","[0.5881378170301437, 0.08452783391817938, 0.09671790368519476, 0.0]","[0.5129687786102295, 1.124383568763733, 0.05814213305711746]","[0.46744269132614136, 1.8490991592407227, 0.12424659729003906]","[-1.0315433690963913, -1.0687213863348966, -17.445125596559517]"
22.480000,"[-9.190263748168945, -3.4042720794677734, -9.901692390441895]","[-9.702764620672037, -2.348060761937318, -10.0]","[1.2472468614578247, -2.5020711421966553, -0.14764367043972015]","[0.5880866020304705, 0.0863197895586842, 0.09697965597951992, 0.0]","[0.5196725726127625, 1.1267824172973633, 0.06090405955910683]","[0.46275103092193604, 1.8525867462158203, 0.12420177459716797]","[-1.0273468080335775, -1.0794345172011248, -17.44559950705143]"
22.490000,"[-9.1714506149292, -3.44161319732666, -9.903885841369629]","[-9.690543429432385, -2.3920862654380723, -10.0]","[1.261091947555542, -2.47664737701416, -0.14472058415412903]","[0.5880411256338054, 0.0880784891989826, 0.09724955141166264, 0.0]","[0.5266754627227783, 1.1288745403289795, 0.06377110630273819]","[0.45874905586242676, 1.8563623428344727, 0.12389564514160156]","[-1.0232326576647055, -1.090021093100598, -17.44613180012526]"
22.500000,"[-9.152430534362793, -3.4785714149475098, -9.906034469604492]","[-9.67807997511171, -2.4358725623056814, -10.0]","[1.2749367952346802, -2.4509634971618652, -0.14179013669490814]","[0.5879972627063813, 0.08980338138852029, 0.09752610723247956, 0.0]","[0.5335038304328918, 1.1306438446044922, 0.0670955628156662]","[0.456107497215271, 1.8603402376174927, 0.12333965301513672]","[-1.0191991380095136, -1.1004766429313866, -17.446728016297243]"
22.510000,"[-9.13320255279541, -3.5151422023773193, -9.9081392288208]","[-9.665374569295725, -2.4794152739469464, -10.0]","[1.2887771129608154, -2.4250237941741943, -0.13885383307933807]","[0.5879538266015837, 0.09149364270669816, 0.09781028576563547, 0.0]","[0.5401808023452759, 1.1318340301513672, 0.07082714885473251]","[0.4540197253227234, 1.8647089004516602, 0.12252330780029297]","[-1.015244766544504, -1.1107936398796385, -17.447392990204417]"
22.520000,"[-9.11376667022705, -3.5513222217559814, -9.910199165344238]","[-9.652427529618915, -2.5227100461269902, -10.0]","[1.3026164770126343, -2.398836612701416, -0.13591685891151428]","[0.58791086051424, 0.0931504416266762, 0.09810053089637956, 0.0]","[0.5467737913131714, 1.132356882095337, 0.07485474646091461]","[0.45200324058532715, 1.8696556091308594, 0.12136554718017578]","[-1.0113688134279584, -1.1209635889732237, -17.448129941749297]"
22.530000,"[-9.094122886657715, -3.5871078968048096, -9.912216186523438]","[-9.639239179756592, -2.5657525494046713, -10.0]","[1.3164618015289307, -2.3724138736724854, -0.13297858834266663]","[0.5878693256053322, 0.09477670820095899, 0.0983936179767107, 0.0]","[0.5532726049423218, 1.1323117017745972, 0.07911352813243866]","[0.45024436712265015, 1.8746929168701172, 0.11997795104980469]","[-1.0075703300762089, -1.130979314615454, -17.448941160532556]"
22.540000,"[-9.074271202087402, -3.622495174407959, -9.914189338684082]","[-9.625809849416818, -2.608538479565533, -10.0]","[1.3303170204162598, -2.3457608222961426, -0.13003939390182495]","[0.5878331621483122, 0.0963731485580052, 0.09868756439406759, 0.0]","[0.5597792267799377, 1.1321722269058228, 0.08339770138263702]","[0.4488598704338074, 1.879068374633789, 0.1184396743774414]","[-1.0038495309315767, -1.1408393635538185, -17.44982582910629]"
22.550000,"[-9.05421257019043, -3.6574809551239014, -9.916117668151855]","[-9.612139874332152, -2.6510635580522117, -10.0]","[1.3441847562789917, -2.318875789642334, -0.1271028071641922]","[0.5878011359652031, 0.09793795147508425, 0.0989813091677472, 0.0]","[0.5661972761154175, 1.131819486618042, 0.08775971084833145]","[0.4477916955947876, 1.8833036422729492, 0.11670780181884766]","[-1.0002054470316915, -1.150540826708705, -17.45078394391658]"
22.560000,"[-9.033945083618164, -3.6920619010925293, -9.918002128601074]","[-9.59822959625126, -2.6933235323922977, -10.0]","[1.3580673933029175, -2.291764974594116, -0.12417130172252655]","[0.5874448552865349, 0.09947486947766405, 0.09927442967385955, 0.0]","[0.5740388035774231, 1.1334404945373535, 0.1132461428642273]","[0.4474729299545288, 1.8883110284805298, 0.10943794250488281]","[-0.9966551750095012, -1.1601070998092238, -17.45213126305761]"
22.570000,"[-9.013468742370605, -3.726234197616577, -9.919842720031738]","[-9.58407936293037, -2.7353141766235733, -10.0]","[1.3719675540924072, -2.264439344406128, -0.12124316394329071]","[0.5873270781814064, 0.10098391975673114, 0.09956366715297126, 0.0]","[0.5803731679916382, 1.1326383352279663, 0.12284503132104874]","[0.4469785690307617, 1.8929766416549683, 0.10593795776367188]","[-0.9931805984466131, -1.169508923290368, -17.453628339427432]"
22.580000,"[-8.99278450012207, -3.759995222091675, -9.921639442443848]","[-9.569689528124576, -2.7770312917166082, -10.0]","[1.3858822584152222, -2.236909866333008, -0.11826169490814209]","[0.5872761837647305, 0.10246782223082881, 0.09984963432255792, 0.0]","[0.5862516760826111, 1.1311639547348022, 0.12895220518112183]","[0.4464523196220398, 1.897040843963623, 0.10483169555664062]","[-0.9897762566879262, -1.178738178494741, -17.455220812874757]"
22.590000,"[-8.971891403198242, -3.793341875076294, -9.92339038848877]","[-9.555060451579, -2.818470705994655, -10.0]","[1.3998161554336548, -2.2091784477233887, -0.11526231467723846]","[0.5872437449819019, 0.1039256975759726, 0.10012915884632644, 0.0]","[0.5917521119117737, 1.1291186809539795, 0.13443344831466675]","[0.446103036403656, 1.9011142253875732, 0.10414314270019531]","[-0.9864375342914448, -1.1877879733515806, -17.45689778980883]"
22.600000,"[-8.950789451599121, -3.826270818710327, -9.925097465515137]","[-9.540192499019792, -2.8596282755508207, -10.0]","[1.4137723445892334, -2.1812527179718018, -0.11226098239421844]","[0.5872198588587711, 0.10535912865491065, 0.10040036461168872, 0.0]","[0.5969976186752319, 1.12690007686615, 0.13973753154277802]","[0.44589370489120483, 1.9048395156860352, 0.10325050354003906]","[-0.9831612421410486, -1.1966562602509, -17.458655399086794]"
22.610000,"[-8.92947769165039, -3.8587799072265625, -9.926758766174316]","[-9.525086042144995, -2.9004998846624472, -10.0]","[1.4277538061141968, -2.153134346008301, -0.10926946252584457]","[0.5872028192225223, 0.10676803027528839, 0.10066105884432376, 0.0]","[0.6020928621292114, 1.1245681047439575, 0.14486944675445557]","[0.44582003355026245, 1.908118724822998, 0.10189533233642578]","[-0.9799453787334887, -1.2053417351592064, -17.460489969412706]"
22.620000,"[-8.903626441955566, -3.8972315788269043, -9.928692817687988]","[-9.509741458615242, -2.9410814462026824, -10.0]","[1.4445679187774658, -2.1191439628601074, -0.10569816827774048]","[0.587205586149853, 0.10888712021423862, 0.09781749531529962, 0.0]","[0.6075248122215271, 1.1212939023971558, 0.15088392794132233]","[0.5160956382751465, 2.051137924194336, 0.11497688293457031]","[-0.9766769533706555, -1.2138871982403965, -17.462413406933567]"
22.630000,"[-8.881852149963379, -3.9288058280944824, -9.930256843566895]","[-9.494159132044322, -2.98136890204919, -10.0]","[1.4586098194122314, -2.0906245708465576, -0.10273894667625427]","[0.5871901431787641, 0.1102012340807171, 0.09801960101189514, 0.0]","[0.6119318604469299, 1.1177693605422974, 0.15639737248420715]","[0.49889838695526123, 2.019866943359375, 0.1089773178100586]","[-0.9734593156922217, -1.2222337673813235, -17.46441738649728]"
22.640000,"[-8.859867095947266, -3.9599509239196777, -9.93177604675293]","[-9.478339451989587, -3.0213582234899583, -10.0]","[1.4726760387420654, -2.061936378479004, -0.09979880601167679]","[0.5871776242518713, 0.11149680256882336, 0.0982062763700362, 0.0]","[0.6155040860176086, 1.1144094467163086, 0.1620011329650879]","[0.48751580715179443, 1.9961599111557007, 0.1036386489868164]","[-0.9702821990891973, -1.2303837114029956, -17.46650233884426]"
22.650000,"[-8.83767032623291, -3.990664482116699, -9.93325138092041]","[-9.462282813942217, -3.061045411626168, -10.0]","[1.4867383241653442, -2.033067464828491, -0.09688125550746918]","[0.587162414623991, 0.1127694850462431, 0.09838524660831309, 0.0]","[0.617944598197937, 1.111249566078186, 0.16807512938976288]","[0.48092877864837646, 1.9781832695007324, 0.09870719909667969]","[-0.9671320802704142, -1.2383395761638425, -17.46867447190257]"
22.660000,"[-8.815263748168945, -4.020943641662598, -9.934682846069336]","[-9.445989619317324, -3.1004264977720775, -10.0]","[1.5007758140563965, -2.0040159225463867, -0.09399007260799408]","[0.5871478094819699, 0.11401477091866342, 0.09856722662294318, 0.0]","[0.6199735403060913, 1.1077734231948853, 0.17412550747394562]","[0.4754325747489929, 1.9658973217010498, 0.09395503997802734]","[-0.9640043498092336, -1.2460976741003442, -17.47093264244767]"
22.670000,"[-8.792646408081055, -4.050785541534424, -9.936071395874023]","[-9.429460275443924, -3.1394975438518893, -10.0]","[1.5148004293441772, -1.974797248840332, -0.09112255275249481]","[0.5871408084023985, 0.11523631881628248, 0.09874810678882996, 0.0]","[0.6221823692321777, 1.1040306091308594, 0.17966094613075256]","[0.469992995262146, 1.9577572345733643, 0.08944416046142578]","[-0.9609013194826016, -1.253655082655729, -17.473268322619518]"
22.680000,"[-8.769819259643555, -4.0801873207092285, -9.937417030334473]","[-9.41269519555476, -3.1782546427935556, -10.0]","[1.5288283824920654, -1.9454213380813599, -0.08827637881040573]","[0.5871445661962389, 0.1164381086471838, 0.09892061719566259, 0.0]","[0.6244679093360901, 1.1004962921142578, 0.18463923037052155]","[0.46567708253860474, 1.9518132209777832, 0.08525276184082031]","[-0.9578238717022327, -1.2610146829040576, -17.47567231657626]"
22.690000,"[-8.746781349182129, -4.109148025512695, -9.938719749450684]","[-9.395694798775947, -3.216693918919479, -10.0]","[1.5428602695465088, -1.9158878326416016, -0.08545368909835815]","[0.5871566247417752, 0.11762067106995226, 0.09908264114363897, 0.0]","[0.6265357136726379, 1.0971659421920776, 0.18928132951259613]","[0.4627712368965149, 1.9474995136260986, 0.0812978744506836]","[-0.9547693149341193, -1.2681793156975434, -17.478138775090596]"
22.700000,"[-8.723532676696777, -4.137664318084717, -9.939980506896973]","[-9.378459510116524, -3.2548115283340797, -10.0]","[1.5568925142288208, -1.8861992359161377, -0.08265772461891174]","[0.5871744232749692, 0.1187832813616813, 0.0992352100883951, 0.0]","[0.6283560991287231, 1.093814730644226, 0.1936931014060974]","[0.4605830907821655, 1.9448362588882446, 0.0774526596069336]","[-0.9517346291425665, -1.2751491255619591, -17.48066351116719]"
22.710000,"[-8.7000732421875, -4.165733814239502, -9.94119930267334]","[-9.36098976045781, -3.29260365930818, -10.0]","[1.570927381515503, -1.8563635349273682, -0.07988984137773514]","[0.5871979385066228, 0.11992754172925277, 0.09937727423735224, 0.0]","[0.6300665736198425, 1.090268850326538, 0.19782254099845886]","[0.45867055654525757, 1.9433199167251587, 0.0736532211303711]","[-0.9487184018874854, -1.2819222559907668, -17.483241578075013]"
22.720000,"[-8.676403045654297, -4.193355560302734, -9.942377090454102]","[-9.343285986542636, -3.3300665326601777, -10.0]","[1.584969401359558, -1.8263874053955078, -0.07715035229921341]","[0.5872273147609458, 0.12105573136653147, 0.0995063576590963, 0.0]","[0.6316682696342468, 1.0865997076034546, 0.20167791843414307]","[0.4571188688278198, 1.9425467252731323, 0.06991291046142578]","[-0.9457191645399351, -1.2884978026550944, -17.485868183578273]"
22.730000,"[-8.652523040771484, -4.220525741577148, -9.943513870239258]","[-9.325348630964427, -3.3671964021339558, -10.0]","[1.5990204811096191, -1.7962768077850342, -0.0744394063949585]","[0.58726254101513, 0.12216869805726215, 0.09962123597570645, 0.0]","[0.6331072449684143, 1.0828744173049927, 0.2052898108959198]","[0.45604777336120605, 1.9421268701553345, 0.06624317169189453]","[-0.9427347810683864, -1.2948756973049504, -17.488538996334096]"
22.740000,"[-8.628432273864746, -4.2472429275512695, -9.944610595703125]","[-9.30717814215614, -3.4039895547735077, -10.0]","[1.6130800247192383, -1.7660349607467651, -0.07175891846418381]","[0.5873034664121302, 0.1232671711166307, 0.09972107983845806, 0.0]","[0.6344006061553955, 1.0791809558868408, 0.20864106714725494]","[0.45531219244003296, 1.9418615102767944, 0.06259536743164062]","[-0.9397632939443706, -1.3010569698944243, -17.491249482202253]"
22.750000,"[-8.604129791259766, -4.2735066413879395, -9.945667266845703]","[-9.288774974379045, -3.4404423112942304, -10.0]","[1.6271487474441528, -1.7356643676757812, -0.06911005824804306]","[0.5873494802220245, 0.12435186517547485, 0.09980468348289086, 0.0]","[0.6355748772621155, 1.0754610300064087, 0.211763396859169]","[0.4547579288482666, 1.9417656660079956, 0.058945655822753906]","[-0.9368030213188095, -1.3070420019795426, -17.493995600233696]"
22.760000,"[-8.579615592956543, -4.299313545227051, -9.946684837341309]","[-9.27013958771138, -3.476551026450849, -10.0]","[1.6412280797958374, -1.7051689624786377, -0.06649428606033325]","[0.5873992229225721, 0.12542273153592629, 0.0998708559797394, 0.0]","[0.6366251111030579, 1.0716450214385986, 0.21472282707691193]","[0.4543696641921997, 1.941794991493225, 0.05526256561279297]","[-0.933852188996401, -1.3128303519591105, -17.49677434753897]"
22.770000,"[-8.549921035766602, -4.329676628112793, -9.947853088378906]","[-9.251272448036845, -3.512312089401939, -10.0]","[1.6581382751464844, -1.668413758277893, -0.06340198218822479]","[0.5874915453158257, 0.12641474609086828, 0.09652473892834619, 0.0]","[0.6377168297767639, 1.067343831062317, 0.21784479916095734]","[0.5248273015022278, 2.0932776927948, 0.06469058990478516]","[-0.9307817521458179, -1.3184395666331332, -17.49958508264544]"
22.780000,"[-8.524943351745605, -4.354473114013672, -9.948784828186035]","[-9.232174027032944, -3.5477219240710056, -10.0]","[1.6722424030303955, -1.637650966644287, -0.06086217239499092]","[0.5874731617796042, 0.12740814169289405, 0.09652176820199937, 0.0]","[0.6391128897666931, 1.0633540153503418, 0.2253204882144928]","[0.5071535110473633, 2.0551435947418213, 0.05628681182861328]","[-0.9277234742258185, -1.3238494476610878, -17.502495012915603]"
22.790000,"[-8.49975299835205, -4.378807067871094, -9.949679374694824]","[-9.212844802159207, -3.5827769895040897, -10.0]","[1.6863536834716797, -1.6067715883255005, -0.05836295709013939]","[0.5875020373718493, 0.12838892702931345, 0.09649705940285148, 0.0]","[0.6391960382461548, 1.058663010597229, 0.22970212996006012]","[0.4954566955566406, 2.0268898010253906, 0.049508094787597656]","[-0.9246612896984985, -1.329052361833106, -17.505457332338114]"
22.800000,"[-8.47435188293457, -4.402677536010742, -9.950536727905273]","[-9.193285256645254, -3.617473780223861, -10.0]","[1.700437307357788, -1.5757848024368286, -0.055891118943691254]","[0.5875394298413134, 0.12936046877399834, 0.0964613578366884, 0.0]","[0.6378733515739441, 1.0533380508422852, 0.23380297422409058]","[0.4886936545372009, 2.005542278289795, 0.04392528533935547]","[-0.9215784560705911, -1.334041599319838, -17.508467235389073]"
22.810000,"[-8.448740005493164, -4.426081657409668, -9.951356887817383]","[-9.1734958794787, -3.6518088265801616, -10.0]","[1.7144685983657837, -1.5446916818618774, -0.05345498025417328]","[0.5875791603649957, 0.13031819609201095, 0.09642780649770427, 0.0]","[0.6362802386283875, 1.0477252006530762, 0.23764894902706146]","[0.4827994704246521, 1.9894331693649292, 0.038753509521484375]","[-0.918472135573084, -1.3388145846343833, -17.51152043029936]"
