filename,method,condition,phase,t0_seconds,n_samples,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_fig8_nnadaptive_18sint,NN,18sint,steady,20.000000,4001,0.862788,0.860973,3.499109,3.777529,3.988216
simpleflight_fig8_nnadaptive_gusts,NN,gusts,all,20.000000,5999,0.859336,0.889254,17.066147,17.233526,30.854659
simpleflight_fig8_nnadaptive_gusts,NN,gusts,trans,20.000000,1998,0.860419,0.884332,3.592731,3.887873,4.217099
simpleflight_fig8_nnadaptive_gusts,NN,gusts,steady,20.000000,4001,0.858795,0.891713,23.794436,23.898014,37.663501
simpleflight_fig8_nnadaptive_ou15,NN,ou15,all,20.000000,5999,0.861979,0.942818,3.281631,3.641925,4.806211
simpleflight_fig8_nnadaptive_ou15,NN,ou15,trans,20.000000,1998,0.863543,1.159477,4.977774,5.366289,7.227097
simpleflight_fig8_nnadaptive_ou15,NN,ou15,steady,20.000000,4001,0.861198,0.834624,2.434620,2.780820,2.924421
simpleflight_fig8_nnadaptive_10sint,NN,10sint,all,20.000000,5999,0.863015,0.878830,17.660186,17.811943,30.129686
simpleflight_fig8_nnadaptive_10wind,NN,10wind,all,20.000000,5999,0.860878,0.865085,14.051709,14.227091,25.221401
simpleflight_fig8_nnadaptive_12wind,NN,12wind,all,20.000000,5999,0.862603,0.875023,5.940656,6.154489,7.216054
simpleflight_fig8_nnadaptive_5wind,NN,5wind,all,20.000000,5999,0.860249,0.874665,4.585171,4.807176,5.073908
simpleflight_fig8_nnadaptive_10sint,NN,10sint,trans,20.000000,1998,0.860176,0.891700,3.676408,3.957350,4.267955
simpleflight_fig8_nnadaptive_10wind,NN,10wind,trans,20.000000,1998,0.857295,0.879975,3.564942,3.856219,4.257228
simpleflight_fig8_nnadaptive_12wind,NN,12wind,trans,20.000000,1998,0.866700,0.921755,3.984135,4.310715,5.051034
simpleflight_fig8_nnadaptive_5wind,NN,5wind,trans,20.000000,1998,0.853851,0.870323,3.415270,3.709784,4.029029
simpleflight_fig8_nnadaptive_10sint,NN,10sint,steady,20.000000,4001,0.864433,0.872403,24.643337,24.730583,36.770007
simpleflight_fig8_nnadaptive_10wind,NN,10wind,steady,20.000000,4001,0.862667,0.857650,19.288540,19.406046,30.736468
simpleflight_fig8_nnadaptive_12wind,NN,12wind,steady,20.000000,4001,0.860557,0.851686,6.917694,7.075224,8.082951
simpleflight_fig8_nnadaptive_5wind,NN,5wind,steady,20.000000,4001,0.863444,0.876833,5.169390,5.355185,5.522167
simpleflight_fig8_metapinn_nowind,Meta-PINN,nowind,all,20.000000,5999,0.863907,0.908487,1.099388,1.818162,2.170369
simpleflight_fig8_metapinn_nowind,Meta-PINN,nowind,trans,20.000000,1998,0.919236,0.991859,1.572418,2.305065,2.928811
simpleflight_fig8_metapinn_nowind,Meta-PINN,nowind,steady,20.000000,4001,0.836276,0.866853,0.863169,1.575015,1.667094
simpleflight_fig8_metapinn_13p5wind,Meta-PINN,13p5wind,all,20.000000,5999,0.866581,0.877528,1.121122,1.912157,2.300396
