,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
4278,85.56,"[-0.35011628015729335, -0.5368193960650381, 2.0245524829167922]","[-0.37990370248658517, -0.5079727949413155, 2.0109597507957875]","[-1.1745347548818341, 0.3073396046768987, -0.12035225561454826]","[-1.1203846429241568, 0.1756416441495956, -0.25655852770007725]","[0.06406441499260342, -0.006168425925822016, 0.003120265888940789, -0.9979198027326873]","[[0.99990039641677, 0.00543719704400466, 0.012710984783727737], [-0.007017903437456642, 0.9917679968368857, 0.127823802485198], [-0.011911392748542266, -0.12790079100121723, 0.9917113699985164]]","[0.37469933470373273, 0.41677533259009214, -0.05442310602542289]",[0.47122908806623204],"[0.025601668734383052, -0.03727699183058243, 0.0, -0.9989723249214996]",[0.440878401763223],"[2.038800456466461, -0.22176404213434076, 0.6277532600982028]","[990.4707847281144, 1023.1487127485415, 1013.550266621438, 980.1847662293254]"
4279,85.58,"[-0.37355300432702565, -0.5307850382772118, 2.021936259792239]","[-0.40223373942077856, -0.5042818747744225, 2.006006902414931]","[-1.1537924972433449, 0.33324855015002675, -0.09963243639217992]","[-1.1012146616969545, 0.19185814072289514, -0.23594973863976018]","[0.060861908773000684, -0.009663497085830636, 0.0033263238431209268, -0.9980902829163135]","[[0.9997839371852226, 0.005463665255171726, 0.01969497791729431], [-0.007816220767435655, 0.9925623596580923, 0.12142707165061319], [-0.018885192244136376, -0.12155564733367129, 0.9923977221668552]]","[0.38727124739224705, 0.41261662269597665, -0.05174738621057665]",[0.4694816352960172],"[0.020530597136390837, -0.040383633484065005, 0.0, -0.9989703928354031]",[0.4408747729163977],"[2.226858471533868, -0.4019315052416954, 1.232080240351351]","[984.5250061540233, 1024.157408277234, 1006.7512757722121, 983.5899314434165]"
4280,85.60000000000001,"[-0.3965547730233667, -0.5243202591879484, 2.019681411815181]","[-0.42355333231930975, -0.5003890902136334, 2.001589428100508]","[-1.1330297043046318, 0.3518571834175482, -0.08141271565015314]","[-1.081365172555742, 0.20645623956705875, -0.2164610426765722]","[0.056938582931127316, -0.013793980237379395, 0.00355138360367846, -0.9982723402231747]","[[0.9995867812645689, 0.0055196766667559, 0.027944719364798486], [-0.00866131541754133, 0.9934833245937377, 0.11358244943280656], [-0.02713587636544532, -0.11377840029378454, 0.9931280014631602]]","[0.3967675248888829, 0.40680067365554456, -0.04801765590493558]",[0.468168410323798],"[0.016491005251283396, -0.04359796703609587, 0.0, -0.9989098688617263]",[0.4408670071982308],"[2.096750999980476, -0.6238228629164397, 0.5433036560634967]","[982.7918473093401, 1024.1536809368606, 1015.7667675660982, 973.6738122250028]"
4281,85.62,"[-0.4191026669050504, -0.5174432819085788, 2.0178275364712945]","[-0.44473292144094406, -0.4961723844724947, 1.997495852849414]","[-1.1100334947399162, 0.37178766062753144, -0.06797371984336902]","[-1.0601239930129231, 0.2200621543575636, -0.19730675944181528]","[0.052895694305012494, -0.01784313995627268, 0.003705701481522841, -0.9984302211370344]","[[0.9993287510887875, 0.005512118146192265, 0.0360222916501453], [-0.00928741925246648, 0.9943695974237671, 0.10549307682395924], [-0.035238229039136246, -0.10575756222464315, 0.9937603065837091]]","[0.40443258831278184, 0.3933267663776632, -0.04092393920555922]",[0.46730043896540485],"[0.01182663626545799, -0.04646610173254812, 0.0, -0.9988459743271324]",[0.4408592414800639],"[2.2398792224477555, -0.42526336604101767, 1.0863050641595429]","[980.9276838553651, 1017.9689697243496, 1006.8498203259819, 977.4049049581995]"
4282,85.64,"[-0.44116449601567426, -0.5102087320171118, 2.016331758410957]","[-0.46579448251917405, -0.4916174088554271, 1.993730344686974]","[-1.084655478609552, 0.38829901818765683, -0.04501770318642008]","[-1.0373598637944783, 0.23259774599125507, -0.17850540138384546]","[0.04889105880199562, -0.0217387883138028, 0.00383740102646654, -0.9985566908448095]","[[0.9990184998977263, 0.0055380601853972705, 0.04379005424167711], [-0.009789389696334343, 0.9951829784708706, 0.09747414688126042], [-0.04303959584474986, -0.09780782867561853, 0.9942672799294417]]","[0.39770638939383196, 0.3808002986823716, -0.038835455140345455]",[0.46504008059273655],"[0.007531285017133502, -0.04911312350308814, 0.0, -0.9987631314781285]",[0.4408514757618969],"[2.0855221116250444, -0.9230488069303913, 1.1003765154941192]","[969.2495461640016, 1022.9324736866572, 1007.9287080642328, 970.809200695503]"
4283,85.66,"[-0.46267700817927726, -0.5026302272932988, 2.0151886227199856]","[-0.4873149749253459, -0.48660806598565487, 1.990182426226283]","[-1.060013563011507, 0.4001156075988873, -0.03271479561077147]","[-1.0124215930152263, 0.24436350713838076, -0.15956816070787674]","[0.04487877067237996, -0.0255693354459563, 0.003928897066763903, -0.9986539977334464]","[[0.9986546840987495, 0.005552176841365508, 0.051422486265892915], [-0.010142258208262426, 0.995934057814917, 0.08943580891660416], [-0.050717189984074186, -0.08983764606473504, 0.9946573484489437]]","[0.40242082424531267, 0.37426501022689274, -0.031855399713093806]",[0.46414483459139666],"[0.0037714413069173734, -0.051842922925370245, 0.0, -0.9986425474894777]",[0.44084371004372996],"[2.1516642928455214, -0.23627477623990023, 0.749375582584463]","[977.0765128169786, 1009.1243021816775, 1009.8228790949034, 965.3424043703021]"
4284,85.68,"[-0.4836741482832547, -0.4947843637567531, 2.014389293331489]","[-0.5074512903911237, -0.4815856532514417, 1.9871455986640696]","[-1.0309324906688715, 0.4201823948466275, -0.014167575828202977]","[-0.9874338107553415, 0.25431989918854486, -0.1421397512066501]","[0.040389994012175516, -0.029597449304200343, 0.003931739866638569, -0.9987323699221177]","[[0.9982062307628596, 0.005462630149505778, 0.059437467273809406], [-0.010244393350195058, 0.9966955455408819, 0.0804448499390801], [-0.058802255475125555, -0.08091032782460067, 0.9949744446870104]]","[0.4154908225967337, 0.3664852185663667, -0.0285265928608801]",[0.4621293788962765],"[-0.0018801526206013034, -0.05389210276304378, 0.0, -0.9985429704261234]",[0.440835944325563],"[2.1802334119787625, -0.381230845653199, 1.1159442624956952]","[977.2469497775529, 1001.5652227205638, 991.7765641497722, 977.4199655204114]"
4285,85.7,"[-0.5042168355039865, -0.4866735901806311, 2.0138729677135925]","[-0.5268630108171434, -0.4764338040645731, 1.9844797626690223]","[-1.0030278116268603, 0.42660432313558916, -0.0003946686180437845]","[-0.9617469562067638, 0.26287793764486117, -0.12563869685659448]","[0.03586784150747904, -0.03355563107979905, 0.003994920635053417, -0.998783115185193]","[[0.9977122734654003, 0.005572982439085182, 0.06731617384411967], [-0.010387254668099862, 0.9973912301109161, 0.07138028478557151], [-0.06674301712342745, -0.07191649311766324, 0.9951711881383497]]","[0.42349315984458463, 0.35962251577372456, -0.029031818300713354]",[0.46083152121632553],"[-0.005200730905072165, -0.0561578603878383, 0.0, -0.9984068862059007]",[0.44082817860739604],"[1.9706638840254223, -1.0284658761501075, 0.5133252886814716]","[979.0, 996.9334231438073, 985.2165431772651, 979.4835241805904]"
4286,85.72,"[-0.524253497834311, -0.4783037366729741, 2.0136768611625357]","[-0.5456016656076002, -0.47116949900045496, 1.9821519742160771]","[-0.9733716419975347, 0.43626586211059093, 0.010927829676949144]","[-0.9353832304495758, 0.2700986468592902, -0.11002152683765289]","[0.03228329537009831, -0.03650540193647808, 0.004028438759489798, -0.9988002865264972]","[[0.9972953508359831, 0.005690182227826753, 0.07318331438454444], [-0.010404240921104677, 0.9978762172571648, 0.06419500977916415], [-0.07266310927113258, -0.06478324888353079, 0.995243385153755]]","[0.43181426357355907, 0.3483611192422879, -0.026471737514323197]",[0.4595424790251784],"[-0.009450685586894042, -0.058090033978740956, 0.0, -0.9982614746083235]",[0.44082041288922913],"[1.897438557614286, -0.2713730812593471, 0.8329980236590728]","[972.4651181519409, 995.7708679013234, 992.7229899718035, 967.2861729698544]"
4287,85.74,"[-0.5436863109984468, -0.4697765525587261, 2.013763088826439]","[-0.5637646527071359, -0.46578710126124107, 1.9801318025163763]","[-0.9440879269855583, 0.4464551420626929, 0.026502972319116434]","[-0.9082522874525325, 0.2760309621586878, -0.0952143108765059]","[0.0279599014687611, -0.03996011102463672, 0.004008966759669855, -0.9987986540004239]","[[0.9967676250356199, 0.00577373967312219, 0.08004839084141313], [-0.010242862740840578, 0.9983977338015368, 0.05553222639234515], [-0.0796000295790455, -0.0561730214195871, 0.9952362564842946]]","[0.4324431248850644, 0.34279675086502015, -0.025745108020982]",[0.45761473646004175],"[-0.014079503607702111, -0.06017131433666338, 0.0, -0.9980882494136446]",[0.4408126471710622],"[1.9226601702110089, -0.9638852029195455, 0.8612457184424009]","[958.0682424446815, 1001.8877695245403, 990.9023646007058, 965.172745016661]"
