,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
3488,69.75999999999999,"[-0.9978219255061793, 0.1736626464232962, 1.830782038877476]","[-1.011478960129087, 0.2043231942834026, 1.8656479917268194]","[-0.07132409851729728, 1.1872446017754685, -0.7192219796945685]","[-0.051678275079677344, 0.970157133551349, -0.646043367169109]","[0.0320638281341621, 0.00979837561506925, -0.005012159458175174, -0.999389203094766]","[[0.9996857384298804, -0.009389849229948073, -0.01990619963403038], [0.010646542956810254, 0.9978215766100341, 0.06399026525230796], [0.019263363556238606, -0.06418670933636324, 0.9976798037655146]]","[1.1948231504502187, 0.030241785327433903, 0.020405275297174317]",[0.48070922914179376],"[-0.07055560683696319, 0.004911915488333776, 0.0, -0.9974707147114621]",[0.4526954838743474],"[-0.5992016093478233, -1.3705695673146225, -0.08823122098880987]","[926.6470451687952, 1041.52414935798, 953.155240004091, 1052.7442420599548]"
3489,69.78,"[-0.9993374647269739, 0.19726780210725747, 1.8167919816642786]","[-1.0126131377376235, 0.2246819375378795, 1.8520430296808896]","[-0.08012167339800098, 1.188597577491455, -0.7048625247092747]","[-0.05505885339983717, 0.954819651302812, -0.639861579992386]","[0.021521429908292925, 0.009615192443115272, -0.005076539536370291, -0.9996989768568468]","[[0.9997429930945414, -0.009736157380526916, -0.019443104874945386], [0.010563888141403929, 0.9990015530553826, 0.04293227911045899], [0.019006087315710702, -0.043127526728808124, 0.9988681917112749]]","[1.1999021558689145, 0.02320073470734077, 0.020625365312810316]",[0.48507415785880714],"[-0.08018992010599936, 0.003900260201215902, 0.0, -0.9967606174920215]",[0.45269526749565997],"[-0.4863564945200294, -1.6598213751206417, 0.6537580491090083]","[941.9477112571942, 1046.2650985965467, 952.1325492982734, 1073.6023521051798]"
3490,69.79999999999998,"[-1.0010186048768548, 0.22078019695279252, 1.8030880399036333]","[-1.0139732273924964, 0.2474739709739878, 1.8367252100591815]","[-0.08636741282652832, 1.180818236006115, -0.6845898395671296]","[-0.058956493619014214, 0.9344590191547888, -0.631088422709031]","[0.009656699191937401, 0.00938060333717553, -0.005134585053616657, -0.999868470845078]","[[0.9997158511467159, -0.010086648082635383, -0.018857905315368254], [0.010448990741299334, 0.9997053389060877, 0.019214527097528765], [0.018659572742015476, -0.019407189120284635, 0.9995820753954945]]","[1.1926983311431532, 0.028349618991553444, 0.017600085828827758]",[0.4893155432691631],"[-0.08853546957869278, 0.0033587083681822054, 0.0, -0.9960608648830878]",[0.4526950511169726],"[-0.14467592589955747, -1.5779964177028285, -0.009887513512314428]","[957.2320037555509, 1042.7423500755078, 960.3594680520142, 1082.5185814373785]"
3491,69.82,"[-1.0028271124506511, 0.24412043159176772, 1.7897210429899668]","[-1.0151825663465508, 0.26592598363152453, 1.8242202260083202]","[-0.09095784926570841, 1.174088562963137, -0.6738002495241229]","[-0.062243084617689355, 0.9143273615872958, -0.6218691270863036]","[-0.0037725020162658685, 0.009119862327540976, -0.005188455741767274, -0.9999204392292417]","[[0.9997450245980047, -0.010444895286496258, -0.01819912656903573], [0.010307276490421397, 0.9998829048328259, -0.007639039750310448], [0.01827742040802422, 0.00744976774208062, 0.9997704012010479]]","[1.1741629434523582, 0.027967749053210266, 0.014706909519968305]",[0.4954967487875702],"[-0.09700879688037366, 0.0031040854315288234, 0.0, -0.9952662152959955]",[0.4526948347382852],"[-0.14024070697876267, -0.6366107247845003, -0.9839198711243924]","[963.0273931155865, 1052.157290344813, 975.6132944737759, 1088.336672543683]"
3492,69.84,"[-1.0047766191142715, 0.26728888103858783, 1.7767062599977919]","[-1.016458149973357, 0.28395756258150334, 1.8119100782372777]","[-0.09689035949016789, 1.165511440843899, -0.6592204774559627]","[-0.0655642932411363, 0.8916563742481236, -0.6111220195220534]","[-0.015353542146600039, 0.008996598402536573, -0.005227418271361554, -0.9998120144094462]","[[0.9997515307293219, -0.01072913048960024, -0.017829295569851283], [0.010176611878602722, 0.99944194578206, -0.03079536976956408], [0.01815033311684031, 0.030607253838085994, 0.9993347200199946]]","[1.1467212614334417, 0.01891079216970406, 0.014312774711830605]",[0.5010249839487555],"[-0.10543552831952442, 0.0025829492559704286, 0.0, -0.9944168840008342]",[0.45269461835959773],"[-0.3861775118059684, -1.1152195993793896, -0.07599776217095666]","[966.34136688708, 1074.5929812707845, 974.7630402058562, 1108.7746672711703]"
3493,69.85999999999999,"[-1.0068656272322727, 0.29007702539710656, 1.7641053026964952]","[-1.0178032627213962, 0.3015441033019814, 1.7998067378085447]","[-0.10467611119142152, 1.143615218999593, -0.6346105406073725]","[-0.06891793653647216, 0.8664503921671897, -0.5988476683051916]","[-0.02658606914156302, 0.008893929189939835, -0.005216387845463618, -0.9995778894434705]","[[0.9997564634580729, -0.010901281138942003, -0.017502983441222062], [0.009955462673406378, 0.9985010292661443, -0.05324248213049312], [0.01805771643293688, 0.053056905393993846, 0.9983972467175816]]","[1.1149897685063392, 0.013071369516623178, 0.010325112810401344]",[0.5052567844558353],"[-0.11190533090026017, 0.001720414662464988, 0.0, -0.9937123789135007]",[0.4526944019809104],"[-0.7418129059101124, -1.6648984829107139, 0.08952082020463337]","[973.1937891474273, 1096.3920300751968, 976.9720728070195, 1128.492018728058]"
3494,69.88,"[-1.0090344126887583, 0.31185992613191016, 1.7522754957633009]","[-1.0192229246600113, 0.3186586440814513, 1.7879219578413605]","[-0.11460072057482815, 1.1185070269975492, -0.6137994963093639]","[-0.07230313638229528, 0.8386697095599932, -0.5850208207525431]","[-0.03609762283407454, 0.008836741173537527, -0.005189711968030991, -0.999287546448434]","[[0.9997736177563229, -0.011009999778544916, -0.01728621828132941], [0.009734058378686135, 0.9973237169969169, -0.07223553019182002], [0.018035563342287272, 0.07205208962611323, 0.997221407228403]]","[1.0878832322083392, 0.014384845302461825, 0.004913856133653019]",[0.5097904685782016],"[-0.11777708459424349, 0.00046036054593665877, 0.0, -0.9930353927654565]",[0.452694185602223],"[-0.4758792441343096, -1.4742640819079256, -0.23910108103906325]","[997.5087506603934, 1089.7156995196333, 984.255668486711, 1139.4804317485693]"
3495,69.9,"[-1.011311338941468, 0.33305094955535486, 1.7409980974138464]","[-1.0207392416180103, 0.3355176616107366, 1.7761014263296715]","[-0.11931141730366876, 1.0890876560961078, -0.587716246822764]","[-0.0757636221132077, 0.8079713500853246, -0.5694726322046166]","[-0.04613162221439203, 0.008753307034910179, -0.005158144066957581, -0.9988626416283811]","[[0.9997514765746962, -0.011112163323764135, -0.017010795668900756], [0.009496946310719907, 0.9956484642065283, -0.09224860969283703], [0.017962609882597937, 0.0920680064178435, 0.9955484363388645]]","[1.0552466365921307, 0.018574321442890944, 0.003447778780010827]",[0.5137335757215492],"[-0.12317328995865273, 0.00012288145685240972, 0.0, -0.9923819035875181]",[0.4526939692235356],"[-0.06755182253474501, -1.5244805980443767, 0.7908689168390524]","[1018.3865912395562, 1079.3241234824745, 990.8373034432567, 1148.5067947412738]"
3496,69.91999999999999,"[-1.0137913050467426, 0.35419205947882465, 1.7300203676932149]","[-1.022331214563757, 0.3518008640799227, 1.7645622129207115]","[-0.12494469492206964, 1.054633850627041, -0.5519454178808001]","[-0.07923823998907209, 0.774847420713046, -0.5524468900637908]","[-0.0579041156447633, 0.008575917424701787, -0.005056830019216072, -0.9982603059549128]","[[0.9997774071642797, -0.011089227192928994, -0.016536373363996548], [0.009102903535649501, 0.9932187266664261, -0.11569349431253122], [0.017707618444910943, 0.11552002648582903, 0.9931227770067619]]","[1.0077859311656339, 0.012567232500888348, 0.0005363507084022181]",[0.5166561318521994],"[-0.1281845717972833, -0.0004114618250446598, 0.0, -0.9917467379734594]",[0.4526937528448482],"[-0.674077653583951, -1.3041899162607962, 1.3657699905239333]","[1016.8445880048623, 1103.3098779814547, 989.0910398239942, 1162.0451240861141]"
3497,69.94,"[-1.016408215985528, 0.3745070001110773, 1.7196950829327036]","[-1.0239427126079488, 0.36689696395134785, 1.7537340213370964]","[-0.1358456789764577, 1.0174845399593864, -0.5171310912795957]","[-0.08259651291036262, 0.7405699892033638, -0.5346002814742479]","[-0.06764374519610268, 0.008518202259051715, -0.004922587109874858, -0.9976501489350607]","[[0.9997847043007236, -0.010974445732905245, -0.01633040704847184], [0.008669633320344603, 0.9907784713118652, -0.13505344812411368], [0.017662335961135815, 0.13488572175355484, 0.9906818155001217]]","[0.9560142335786272, 0.00782684064205277, -0.004648082900286871]",[0.5193278074084785],"[-0.1327715145177977, -0.0019129125340060266, 0.0, -0.9911425689414535]",[0.45269353646616073],"[-0.6732771759914138, -1.208496522928141, 0.654248395699689]","[1011.2514337796474, 1136.179972656851, 993.1085115340545, 1169.1314520084136]"
